feature_idx,label,description
2,other,
5,other,
31,other,
197,other,
309,other,
351,other,
355,other,
356,other,
362,other,
464,other,
494,other,
603,other,
925,other,
934,other,
1069,other,
1082,other,
1144,other,
1163,other,
1239,other,
1283,other,
1618,other,
1839,other,
1876,other,
1922,other,
1995,other,
2056,other,
2062,other,
2215,other,
2274,other,
2333,other,
2383,other,
2607,other,
2630,other,
2656,other,
2682,other,
2720,other,
2748,other,
2896,other,
2952,other,
2971,other,
2975,other,
3129,other,
3170,other,
3194,other,
3226,other,
3257,other,
3267,other,
3282,other,
3292,other,
3358,other,
3532,other,
3612,other,
3619,other,
3797,other,
3856,other,
4019,other,
4051,other,
4252,other,
4259,other,
4507,other,
4557,other,
4636,other,
4781,other,
4803,other,
4930,other,
4952,other,
5072,other,
5099,other,
5110,other,
5221,other,
5259,other,
5394,other,
5406,other,
5590,other,
5681,other,
5706,other,
5766,other,
5931,other,
6063,other,
6079,other,
6108,other,
6199,other,
6201,other,
6307,other,
6368,other,
6377,other,
6386,other,
6415,other,
6522,other,
6608,other,
6660,other,
6818,other,
6822,other,
6902,other,
6942,other,
6946,other,
6957,other,
7018,other,
7094,other,
7192,other,
7216,other,
7246,other,
7248,other,
7283,other,
7357,other,
7361,other,
7420,other,
7566,other,
7582,other,
7602,other,
7639,other,
7676,other,
7679,other,
7824,other,
7861,other,
8074,other,
8089,other,
8093,other,
8271,other,
8409,other,
8606,other,
8812,other,
8841,other,
9203,other,
9464,other,
9502,other,
9618,other,
9645,other,
9766,other,
9863,other,
9952,other,
10084,other,
10139,other,
10225,other,
10244,other,
10407,other,
10624,other,
10853,other,
10935,other,
11253,other,
11528,other,
11607,other,
11713,other,
11962,other,
11974,other,
11988,other,
12201,other,
12244,other,
12288,other,
12345,other,
12405,other,
12477,other,
12551,other,
12571,other,
12686,other,
12725,other,
12790,other,
12811,other,
13004,other,
13277,other,
13295,other,
13332,other,
13369,other,
13454,other,
13739,other,
14002,other,
14023,other,
14032,other,
14207,other,
14279,other,
14373,other,
14567,other,
14788,other,
14790,other,
14860,other,
14969,other,
15107,other,
15138,other,
15169,other,
15306,other,
15337,other,
15479,other,
15623,other,
15634,other,
15691,other,
15728,other,
15848,other,
15882,other,
15892,other,
15948,other,
16034,other,
16036,other,
16073,other,
16074,other,
16192,other,
16294,other,
16344,other,
16352,other,
16377,other,
16389,other,
16711,other,
16905,other,
17051,other,
17063,other,
17112,other,
17158,other,
17610,other,
17699,other,
17810,other,
17859,other,
