feature_idx,label,description
309,other,
356,other,
464,other,
494,other,
662,other,
925,other,
934,other,
956,other,
1283,other,
1876,other,
1995,other,
2056,other,
2215,other,
2428,other,
2748,other,
2896,other,
2921,other,
2975,other,
3129,other,
3159,other,
3170,other,
3257,other,
3612,other,
3845,other,
4019,other,
4259,other,
4379,other,
4507,other,
4543,other,
4557,other,
4650,other,
4702,other,
4803,other,
5099,other,
5154,other,
5204,other,
5306,other,
5681,other,
5830,other,
5931,other,
5934,other,
6072,other,
6108,other,
6149,other,
6201,other,
6224,other,
6307,other,
6608,other,
6818,other,
6902,other,
7018,other,
7181,other,
7192,other,
7203,other,
7357,other,
7420,other,
7488,other,
7842,other,
7877,other,
8089,other,
8409,other,
8421,other,
8676,other,
8812,other,
8841,other,
8966,other,
9464,other,
9543,other,
9550,other,
9645,other,
9692,other,
9766,other,
9901,other,
9952,other,
10035,other,
10407,other,
10637,other,
10666,other,
10853,other,
11133,other,
11607,other,
11890,other,
11981,other,
12201,other,
12244,other,
12288,other,
12345,other,
12405,other,
12551,other,
12722,other,
12811,other,
12913,other,
13177,other,
13295,other,
13369,other,
13597,other,
14002,other,
14017,other,
14076,other,
14279,other,
14476,other,
14573,other,
14717,other,
14728,other,
14788,other,
14795,other,
14972,other,
14983,other,
15114,other,
15138,other,
15250,other,
15306,other,
15337,other,
15406,other,
15634,other,
15691,other,
15728,other,
16074,other,
16192,other,
16352,other,
16389,other,
16710,other,
16843,other,
16905,other,
17962,other,
17974,other,
18072,other,
18105,other,
18143,other,
18544,other,
19152,other,
19202,other,
19262,other,
19446,other,
19725,other,
20054,other,
20125,other,
20204,other,
20665,other,
21050,other,
21069,other,
21356,other,
21709,other,
22012,other,
22524,other,
22602,other,
22733,other,
22871,other,
22881,other,
22885,other,
23015,other,
23414,other,
23959,other,
24027,other,
24197,other,
24511,other,
25418,other,
25462,other,
25508,other,
25578,other,
25673,other,
26140,other,
26298,other,
26304,other,
26355,other,
26368,other,
26924,other,
26998,other,
27691,other,
28123,other,
29432,other,
29587,other,
29615,other,
30041,other,
30429,other,
30553,other,
30580,other,
30623,other,
30904,other,
31048,other,
31192,other,
31292,other,
31315,other,
31503,other,
31579,other,
31804,other,
32105,other,
32458,other,
33127,other,
33780,other,
33998,other,
34351,other,
34600,other,
34665,other,
34709,other,
35160,other,
35187,other,
35863,other,
36824,other,
36876,other,
36993,other,
38024,other,
38320,other,
38856,other,
39432,other,
39655,other,
40190,other,
40894,other,
41239,other,
41299,other,
41614,other,
41824,other,
41970,other,
42336,other,
42352,other,
42913,other,
43448,other,
43508,other,
43564,other,
44000,other,
44101,other,
45787,other,
45907,other,
46736,other,
46815,other,
47543,other,
47948,other,
48043,other,
48061,other,
48434,other,
48864,other,
49342,other,
49486,other,
49594,other,
50767,other,
51588,other,
51683,other,
51771,other,
52698,other,
52970,other,
53738,other,
54127,other,
54411,other,
54815,other,
54980,other,
55180,other,
56033,other,
56342,other,
57345,other,
57715,other,
57719,other,
58082,other,
58172,other,
58206,other,
58844,other,
59246,other,
59667,other,
60004,other,
60391,other,
61056,other,
61064,other,
61210,other,
61578,other,
61921,other,
63159,other,
63450,other,
63594,other,
63803,other,
64182,other,
64288,other,
64608,other,
65123,other,
65372,other,
65501,other,
65699,other,
66220,other,
66606,other,
67684,other,
67886,other,
68075,other,
68432,other,
69269,other,
69394,other,
69600,other,
70405,other,
70586,other,
71353,other,
73025,other,
74894,other,
75109,other,
76557,other,
76724,other,
77253,other,
77304,other,
77401,other,
77492,other,
77654,other,
77947,other,
78823,other,
78924,other,
79363,other,
80339,other,
80560,other,
80773,other,
81143,other,
81488,other,
82802,other,
82856,other,
83361,other,
84015,other,
84253,other,
86285,other,
86527,other,
88808,other,
90895,other,
91499,other,
92786,other,
92899,other,
92921,other,
93101,other,
93321,other,
98135,other,
98523,other,
98604,other,
98680,other,
100150,other,
100581,other,
100825,other,
101107,other,
101775,other,
102527,other,
104085,other,
104161,other,
104206,other,
104341,other,
105840,other,
105923,other,
106482,other,
108374,other,
108430,other,
109538,other,
110225,other,
110616,other,
111085,other,
111278,other,
111617,other,
112454,other,
113295,other,
114769,other,
115548,other,
116045,other,
119062,other,
119611,other,
120246,other,
120883,other,
121013,other,
121292,other,
122905,other,
123866,other,
125422,other,
125499,other,
128363,other,
128672,other,
129909,other,
130661,other,
131130,other,
131807,other,
132025,other,
132032,other,
132493,other,
133197,other,
133361,other,
134114,other,
136640,other,
136952,other,
138277,other,
138427,other,
139036,other,
139979,other,
141840,other,
142539,other,
143867,other,
144871,other,
145908,other,
146372,other,
147487,other,
147734,other,
148467,other,
150687,other,
151054,other,
151289,other,
152127,other,
152457,other,
152895,other,
152987,other,
153338,other,
153369,other,
154294,other,
154857,other,
155194,other,
156583,other,
157857,other,
160953,other,
161003,other,
161421,other,
162244,other,
163167,other,
163820,other,
163853,other,
164469,other,
164598,other,
167111,other,
169224,other,
169555,other,
170846,other,
172972,other,
173825,other,
174615,other,
176074,other,
176429,other,
177108,other,
177247,other,
177326,other,
177467,other,
177908,other,
178365,other,
178632,other,
180032,other,
180943,other,
181774,other,
183239,other,
183407,other,
183949,other,
184374,other,
